Model,Dataset,RMSE,R2,MAE
RandomForestRegressor,Train,0.6580823535161995,0.9520684337452483,0.5229968830357968
RandomForestRegressor,Validation,1.7460286460771568,0.6553789435935037,1.406940463087547
RandomForestRegressor,Test,1.780321587375106,0.646185444291767,1.434370273143891
DecisionTreeRegressor,Train,0.0,1.0,0.0
DecisionTreeRegressor,Validation,2.4579430201471486,0.31705976152758486,1.8678521694416794
DecisionTreeRegressor,Test,2.4760529287454474,0.31561792253060905,1.8937617263587256
MLPRegressor,Train,1.8755013509273744,0.6106897013193145,1.5124897919125988
MLPRegressor,Validation,1.8689745401819848,0.6051375364856117,1.5036305129266183
MLPRegressor,Test,1.9026073732429305,0.5959109048852465,1.531644572517236
KNN,Train,2.454631034470628,0.3331416837572253,2.0449578697545556
KNN,Validation,2.9818909645686844,-0.005130839402025078,2.493184519539413
KNN,Test,2.995008776168782,-0.0013248133238927817,2.51150699793853
LinearRegression,Train,1.8811940224941177,0.6083227831784281,1.5398448547116579
LinearRegression,Train,1.8719985168150148,0.6038587380644476,1.5297848367873896
LinearRegression,Train,1.9070821438380268,0.5940079033523198,1.5597098816153183
